ORGANIZATION_ID,GL_CODE_ID,GL_NAME
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e07f902-ea54-11ef-b08d-b3959c398296,Accounts Payable
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e081f9a-ea54-11ef-b08d-330bff3836b1,Accounts Receivable
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e082206-ea54-11ef-b08d-57ad080a7534,Advertising
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e085564-ea54-11ef-b08d-d3bd91a60779,Automobile Expenses
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e087c10-ea54-11ef-b08d-d39dde86cef2,Bad Debts
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e087e2c-ea54-11ef-b08d-2f2b4b0f2a4c,Bank Service Charges
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e08800c-ea54-11ef-b08d-df8f6a38c56b,Common Stock
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e0881ec-ea54-11ef-b08d-834e00dfd39f,Computer Equipment
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e08839a-ea54-11ef-b08d-bfa128d2ad83,Consulting & Accounting
0261019e-f163-11ec-b45a-8b765a2c4fc8p,3435b838-fe5b-11ef-9135-9703c6a0407d,Contract Labor
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e08a0d2-ea54-11ef-b08d-d7409f4338cb,Cost of Goods Sold
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e08a2e4-ea54-11ef-b08d-0f366ed0410f,Credit
0261019e-f163-11ec-b45a-8b765a2c4fc8p,32cb4fc4-aa7b-11ee-ba20-d7814e5ddfa0,Depreciation
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e08dac0-ea54-11ef-b08d-8b0fcd54ebd2,Employee Tax Payable
0261019e-f163-11ec-b45a-8b765a2c4fc8p,32cb56d6-aa7b-11ee-ba20-573419d67af2,Entertainment
0261019e-f163-11ec-b45a-8b765a2c4fc8p,93ac3476-fe7f-11ef-8883-5ba5c49c2721,Equipment and Tools
0261019e-f163-11ec-b45a-8b765a2c4fc8p,158465a6-fe65-11ef-8e74-4f092d5593c6,Events and Trade Shows
0261019e-f163-11ec-b45a-8b765a2c4fc8p,564cdbec-fe5e-11ef-8cdf-eff62277fbc0,Freight and Shipping Inbound
0261019e-f163-11ec-b45a-8b765a2c4fc8p,62cd09a4-fe5f-11ef-b2ed-a728f4845b80,Fulfillment & Assembly
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e09064e-ea54-11ef-b08d-3b023ce35269,General Expenses
0261019e-f163-11ec-b45a-8b765a2c4fc8p,a236f51c-f5fb-11ef-a8ba-538b589f6b5d,GoCardless-USD
0261019e-f163-11ec-b45a-8b765a2c4fc8p,5e092548-ea54-11ef-b08d-236c23860269,Historical Adjustment
